Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,id,description
North Melbourne,20 Scotia St,2,h,800000,VB,Nelson,2016-06-27 00:00:00,2.3,3051,2,2,1,55.0,0.0,2011,Melbourne,-37.8014,144.9488,Northern Metropolitan,6821,4377,"Welcome to Gabel's gate 1B - Contemporary and inviting freehold apartment renovated in 2019. The apartment has a delicate color scheme, 1-bar oak parquet, stylish HTH kitchen with integrated white goods (stove, induction hob, wine cabinet, fridge/freezer and dishwasher) and nice bathroom/ wc with Italian designer tiles. Bathroom from 2019 with rain shower, hinged mirror, large tiles and wall-hung toilet as well as arrangement for washing machine. The apartment has large window surfaces with plenty of natural light. Large living/dining room with space for several seating groups. Direct access to the west-facing balcony from the living room/kitchen. In addition, French balcony in bedroom 2. Newer windows and balcony doors from 2019. Good storage options in wardrobes in bedroom and hallway. Attractive location close to Frognerkilen, Bygdøy and Aker Brygge."
Hampton Park,75 Pound Rd,4,h,622000,SP,FN,2017-08-07 00:00:00,33.3,3976,4,2,2,654.0,0.0,1989,Casey,-38.02683,145.25871,South-Eastern Metropolitan,8256,10697,"Lovely atmosphere and a super property to gather family and friends. The cabin is perfect for several generations.

The property is snow-safe at 913 meters above sea level. It also has a sunny location with a great view - everything is there to enjoy great days in the mountains. Here it is right out on ski and hiking trails in summer and winter. If you want alpine skiing, you just have to put down straight on the outside out of the door. The cabin has easy access and a driveway right up to the door. Electric car charger is installed.

1st floor: Entrance, living room and open plan kitchen, two bedrooms, bathroom and storage room. External storage.
2nd floor: Attic living room, two bedrooms and toilet.

The cabin has a large, southwest-facing terrace where life and the view over towering mountain peaks, untouched terrain and illuminated cabins in the immediate area can be enjoyed.

Welcome to the mountains!"
Craigieburn,1 Consort Pl,4,h,615000,S,YPA,2017-12-08 00:00:00,20.6,3064,4,2,2,756.0,222.0,2001,Hume,-37.5729,144.93663,Northern Metropolitan,15510,10975,"Apartment located on the 1st floor (not on the ground floor) with a central location and good layout. A short drive to the center of Holmestrand.

You enter the home through a common entrance (locked daily), up a small staircase and to the right. Inside the door, you first end up in the hallway, where you may have the opportunity to move further towards the kitchen (on the left), the living room straight ahead or the bathroom (on the right).

The kitchen is completely neat with a simple and practical style, where the included dishwasher makes everyday life easier. Stove with stove guard included. There is space for a refrigerator along a concrete wall with revived ""monk plaster"" as decoration. The floor is covered with Berry Alloc laminate of recent date.

The bathroom is spacious and tiled with a practical design. The bathtub is supplied by a 300 liter water heater and there is space for a washing machine and tumble dryer if required.

The airy living room also has a new laminate floor and leads on to both bedrooms and out to a great, glazed balcony with ""May 17 view"".

There is also 1 storage room in the basement and access to a shared laundry room. Shared patio at the entrances to the housing association with furniture.

See video of the apartment here: https://youtu.be/80vXmr9-19I

Location
Central location with approx. 5 minutes walk down to the center of Holmestrand, with restaurants, marina, shops and new library.

The apartment is well suited for those who want proximity to the center and most facilities, and at the same time meets the needs of commuters with walking distance to the new Holmestrand train station, built into the mountain!

New great nursery right nearby.

Access
The apartment is located in the block Bilet 8 on the way out of Holmestrand, to the south, before the old Gausetangen school. Walk or drive from the traffic lights past ""Kreativ Fryd"" and ""Cassablanca"". When you round the new Police station on the right, you will see Bilet 8 straight ahead, framed by the old railway line. You pass the block and drive around to the right to arrive at the central entrance, Bilet 8B.

Standard
The apartment has new laminate flooring in the kitchen, hallway, living room and bedroom. Walls were last painted in 2018, where new moldings along the floor were also installed. Two solid inner doors have been inserted into the bedroom and into the bathroom.

The bathroom has been given a new and better room layout with space for a bathtub and washing machine, and more space around the WC. Tiled surfaces with heating cables in the floor. New WC, shower, sink, taps and the like. Completely renovated in 2018.

The kitchen was replaced for approx. 20-25 years ago with white interior. The concrete wall facing the living room has been given a new ""monk plaster"" and matt, white colour. New LED panel in ceiling.

Newer, beautiful glazed balcony with patio carpet and roller blinds.

The bedroom has painted surfaces, an LED ceiling light and free-standing cupboards.

Reference is made to more information about planned upgrades to the housing association in the attached documents.

Construction method
Low-rise block built in concrete with timber framing. externally clad with facade panels and standing panel. See condition report for more information.

Parking
Garage space can be rented by the board of the housing association, waiting list according to seniority in the housing association. Dedicated parking space for the apartment for 1x car (marked with name).

Domestic animals
Pets are not allowed without special prior approval by the board. See the statutes/house rules for further provisions, or contact the board directly at bilet8@mittusbl.no."
Footscray,9 Lynch St,3,h,1003000,S,Naison,2016-03-12 00:00:00,6.4,3011,3,1,1,292.0,98.0,1900,Maribyrnong,-37.797,144.9051,Western Metropolitan,7570,2656,"This is a cabin you can afford to use - all year round!

Newly renovated cabin sold fully furnished - ready to use! :-)

Here you have the opportunity to take over a cabin with low running costs per month.
Freehold with property tax and municipal expenses is approx. NOK. NOK 2,000 per year.
Only electricity that comes in addition.
We have primarily used the cabin in winter - and a heat pump has recently been installed which quickly heats the entire cabin and we use the fireplace which is efficient and warms very well.

Tip: The cabin can easily be rented out - which will cover most of the annual costs.
If desired, we can make an agreement where we get the opportunity to rent the cabin for a few weekends in the winter.

The cabin has a lovely view over the lake and Gudbrandsdalen.
Newly renovated in recent years. Stained in 2021.
Living room with sofa group, large dining table, TV and fireplace.
Heat pump installed 2021.
Kitchen with gas stove and electric cooker. New 2016
Bathroom with heating cables, toilet (spindle) and shower cubicle with foot pump.
2 bedrooms (both newly renovated) with a double bed on the first floor.
Bedroom in the basement with a double bed. New 2018
Parking at the cabin.
Year-round water in a cold cellar from a well.
Water is filled in water cans for use in the bathroom. Hot water is heated in a boiler.

The cabin has very good views and sun conditions with views to the south-west and north.
Large terrace with bench.
Partially glazed balcony with exit from living room. Beautiful view!"
Preston,192 Wood St,4,h,870000,S,RW,2016-11-27 00:00:00,8.8,3072,4,1,2,400.0,117.0,1890,Darebin,-37.7346,145.0164,Northern Metropolitan,14577,5014,"Holsteinveien 24 is a well-maintained and family-friendly detached house from 1936 with a good layout over two levels plus a basement. The location is unabashed and child-friendly, with proximity to schools and nurseries, as well as a short distance to great hiking terrain in Nordmarka. Furthermore, the property boasts a large, well-kept and sunny garden, a sunny covered terrace, and a sunny balcony with fantastic views.

The cars are parked in a parking space and in a double garage.

Inside, the home appears with good solutions and quality materials. On the first floor there is a large living room with fireplace, dining room and kitchen.
Furthermore, there is a living room with a fireplace, a bathroom, a training room, 2 storage rooms and a technical room in the basement, and there is a bathroom/wc and three bedrooms on the second floor.
The bedrooms have wardrobes, and there is storage space in the basement and garage"
Toorak,1/183 Kooyong Rd,2,u,857000,S,Walsh,2016-08-22 00:00:00,4.6,3142,2,0,0,0.0,0.0,0,Stonnington,-37.8458,145.0221,Southern Metropolitan,7217,6393,"Klæbu Panorama is centrally located in Klæbu, which has begun to flourish in full. Here you live in the countryside with great views, good sunny conditions and with what you need in everyday life.
All the apartments look out onto spacious, sunny balconies with the option of glazing. Large window fields let in daylight and make the apartments open and airy. With a varied offer of apartment types, the project provides housing that is suitable for everyone. In the design of the facades, emphasis is placed on proportions, colors and materials that create a varying but holistic expression. Here there is room to enjoy yourself.

Qualities we want to highlight:

- Closed underground parking
- Lift to all floors
- Easy-care apartments with good layouts
- Spacious balconies/terraces
- Kitchen with integrated white goods from Siemens
- Neat tiled bathroom
- District heating


Klæbu Panorama is freehold and will consist of 60 freehold apartments spread over 7 floors. Building stage 1, which consists of 40 apartments, has been completed. Building phase 2, which is now for sale, consists of 20 apartments.

Behind the project is TOBB, which is Central Norway's largest residential building society. We have built and managed homes for our members since 1945. With our long experience and solid expertise, we give you the security you need in everyday life and in your home. Today, it is about creating good homes and a good living environment for our members. Safer, cost-effective and more functional homes that meet today's standards and requirements for quality.

Progress plan and completion
The seller aims for completion 15 - 18 months after the seller's reservation has been declared waived, regardless of whether the reservation has actually been fulfilled or not. The final determination of the exact time of takeover will not be clarified before the dispatch of a notice of takeover business, which is sent out no later than 4 weeks before the business is to be held.

Garage/Parking
Each apartment has one parking space in the underground parking lot. The parking spaces are sectioned as additional parts to the homes. A section owner who is allocated HC space must expect to exchange space in the event of a documented need for HC space from another section owner. Please note that the parking spaces and the maneuvering area in the parking basement are limited. The width of the parking spaces varies from 2.25m to 2.40m, measured from a physical obstacle (pillar/wall) or from the
center of painted dividing lines between parking spaces. Contact the estate agent for specific information about which space comes with the individual home. Feel free to arrange a viewing to see and try out the parking space that comes with the home.

Form of organization
The apartments are sold as owner-occupied sections, and will be organized as part of the existing owner-occupied condominium Klæbu Panorama. The buyer's rights as a member of a co-ownership follow from the Act on Ownership Sections of 16 June 2017 number 65, and the statutes. The condominium has a legal lien in each section for unpaid claims and obligations towards the condominium, cf. Section 31 of the Owner's Section Act. The condominium will be led by a board elected from among the owners. The condominium's board must take care of all matters of common interest to the condominium owners. The buyer cannot own more than two sections in a condominium."
Tullamarine,3 Henderson Rd,4,h,821000,S,Jason,2017-01-07 00:00:00,12.9,3043,4,1,6,763.0,0.0,0,Hume,-37.69048,144.87312,Western Metropolitan,3296,8977,"Unique and charming property with large garden, cinema and activity hall and swimming pool - only 30 min. From Oslo.

Cozy place to celebrate Christmas! Available from 17 December - 1 January.

The accommodation is spacious and comfortable. The main house has 4 bedrooms, 2 living rooms, dining room, 2 bathrooms, 1 toilet, and a great newly renovated kitchen.
The kitchen is well equipped: two ovens, microwave, two dishwashers, freezer with ice maker, coffee machine and Quooker tap.

The bedrooms are distributed as follows:
1st floor: Master bedroom with en suite bathroom. Ample space for cot/extra mattress
2nd floor:
1. Bedroom with 180cm bed and single bed
2. Bedroom with 150cm bed
3. Bedroom with 2 single beds and room for extra mattress

There are also possibilities for accommodation in the storeroom (4 people).

The property has a large and well-established garden with a bonfire, a large lawn, a large terrace and a barbecue hut with an outdoor fireplace.
Here there is something for every taste:)

In the barn there is a large cinema with room for 20 people - here you get an excellent picture and sound experience.

In the barn there is also a great activity room where you can play indoor bandy, squash, badminton and much more.

Here you can really enjoy quiet holiday days while being a short distance from most everything.

Ski centre, with train station and shops: 7 min
Tusenfryd: 15 min
Oslo centre: 30 min
Eventyrfabrikken Vestby: 20 min
Oslo Fashion Outlet Vestby: 20 min

The home suits all target groups and is perfect for families with children. We only rent to families or other adults. Not rented out to young people.
Washing comes in addition to the rent."
South Yarra,30 Nicholson St,3,t,2030000,S,Kay,2017-05-20 00:00:00,3.3,3141,3,2,2,201.0,0.0,0,Stonnington,-37.8428,144.9877,Southern Metropolitan,14887,8378,"Substantial terraced house with an attractive and central location in Åsane. The home is on one level and contains a living room, kitchen, bathroom and 2 bedrooms. In addition, there is a cellar under the house, but this has a significant need for maintenance. The property has two parking spaces in the common area in front of the house, one of which has a carport. Sunny plot with large and unashamed terrace paving in front of the house.

Child-friendly residential area with a short walking distance to both schools and kindergartens. Sports facilities and hiking opportunities can also be found in the immediate area. Otherwise, you have Åsane bus terminal, Åsane Storsenter and grocery stores within a short walking distance of the property.

Welcome to viewing!"
Fairfield,44 Separation St,4,h,1255000,S,McGrath,2017-09-16 00:00:00,5.7,3078,4,1,1,368.0,148.0,1915,-,-37.77167,145.02015,Northern Metropolitan,2970,12720,"Welcome to Torgny Segerstedts vei 53. Here we have a nice penthouse in a popular location in Fyllingsdalen. It is in a central location close to everything you need in everyday life! Pretty west-facing balcony with good sunny conditions. Continuous light from large windows, great view towards Sotra in the west and Løvstakken in the east. Short walking distance to nurseries, schools and bus stops.

- Attractive location with immediate proximity to great hiking areas
- Penthouse
- The oasis is only a short walk away with all the facilities you need in everyday life
- Close to schools, kindergartens, sports facilities, bus and shops
- Spacious living room with plenty of space for furniture groups
- New ventilation system and new bathroom in 2019
- Master bedroom can be converted into two bedrooms
- All rooms (apart from the bathroom) will be painted in September 2022"
Balwyn North,286 Balwyn Rd,4,h,1950000,S,Fletchers,2017-09-09 00:00:00,9.7,3104,4,3,1,747.0,0.0,0,-,-37.79609,145.08478,Southern Metropolitan,7809,12441,"Apartment of 122 sqm + 54 sqm terrace with sea view 100 meters from the beaches in Villajoyosa. It is centrally located in the city, Villajoyosa, only 30 minutes from Alicante airport.

The apartment was new in 2017, has all facilities and has very high quality in all details.
Short distance to several beaches, 5 min to supermarket/bakery, otherwise everything you need is within walking distance.
Here you have a fantastic view of the beach and sea. Sun from sunrise and throughout the day.
Long-term rental in winter is possible. Ask for price.

Facts about the apartment:
- 55"" TV all Norwegian channels
- AC in all rooms
- Internet via fiber
- Heating in all floors.
- Wardrobe spaces
- Gas fireplace
- Swimming pool (heated) and simple exercise room on the 1st floor
- Ice machine and filter for all water in the kitchen
- 2 large bathrooms, 1 guest toilet
- Washing machine and dryer
- Gas grill on the terrace
- Kitchen with all equipment
- Lift
- Private parking space on the lower floor with garage door opener
- 2 bicycles with helmets and equipment
Washing the apartment costs NOK 1,500."
